"NP","PUMA","TEN","HICOV","POV","SP","HCB","SCHL","RACE"
1,"20202","Owned/Free","1",0,0,17,"C","White"
6,"20604","Owned/Mortgage","1",0,0,33,"HS","White"
1,"20901","Rented","1",1,0,101,"C","Black"
1,"20801","Rented","1",0,0,37,"HS","Black"
1,"20201","Rented","2",1,0,101,"SC","White"
2,"20903","Owned/Mortgage","1",0,0,16,"C","White"
1,"20202","Owned/Mortgage","1",0,0,29,"C","White"
1,"20602","Owned/Free","1",0,0,39,"SC","White"
1,"20601","Rented","1",1,0,58,"SC","Black"
1,"20903","Rented","1",0,0,13,"C","White"
2,"20901","Rented","1",0,1,26,"C","Black"
12,"20801","Owned/Mortgage","1",0,1,6,"C","Other"
2,"20207","Owned/Free","1",0,0,21,"C","White"
2,"20100","Owned/Free","1",0,1,27,"HS","White"
4,"20401","Rented","1",1,1,26,"SC","Black"
4,"20602","Owned/Mortgage","1",0,0,48,"C","White"
5,"20703","Owned/Free","1",0,0,3,"C","White"
2,"20202","Owned/Free","1",1,0,91,"HS","White"
6,"20903","Rented","2",0,0,14,"HS","Other"
1,"20301","Owned/Mortgage","1",0,0,46,"HS","White"
2,"20301","Owned/Mortgage","1",0,0,23,"C","White"
7,"20901","Owned/Mortgage","1",0,0,9,"HS","Other"
3,"20402","Owned/Mortgage","1",0,0,22,"SC","White"
2,"20203","Owned/Mortgage","1",0,0,14,"SC","White"
2,"20904","Rented","1",1,1,101,"C","Black"
1,"20904","Owned/Mortgage","1",1,0,0,"HS","White"
1,"20903","Rented","1",1,0,46,"HS","Black"
2,"20901","Owned/Free","1",0,0,25,"C","White"
1,"20601","Rented","1",0,0,35,"C","White"
2,"20702","Owned/Free","1",0,0,12,"C","White"
1,"20500","Rented","1",0,0,59,"HS","White"
2,"20500","Owned/Free","1",0,0,9,"SC","White"
1,"20100","Owned/Free","1",0,0,31,"SC","Two or more"
2,"20904","Rented","1",0,0,20,"HS","White"
2,"20207","Owned/Mortgage","1",0,1,26,"SC","White"
1,"20802","Owned/Free","1",0,0,11,"C","White"
1,"20603","Rented","1",1,0,101,"SC","White"
1,"20203","Rented","1",0,0,46,"SC","White"
1,"20206","Owned/Free","1",0,0,52,"HS","White"
2,"20402","Owned/Mortgage","1",0,1,6,"HS","White"
2,"20207","Owned/Mortgage","1",0,0,17,"HS","White"
1,"20901","Rented","1",0,0,27,"C","Other"
1,"20601","Rented","1",0,0,66,"SC","Black"
2,"20207","Owned/Mortgage","1",0,0,11,"C","White"
3,"20204","Owned/Mortgage","1",0,1,11,"C","White"
1,"20301","Rented","1",0,0,17,"HS","White"
3,"20207","Rented","1",0,1,81,"C","Asian"
4,"20602","Rented","1",0,0,14,"C","White"
3,"20203","Owned/Mortgage","1",0,0,15,"C","White"
1,"20500","Rented","2",0,0,45,"HS","White"
1,"20903","Rented","1",0,0,26,"C","White"
1,"20901","Rented","1",0,0,27,"C","White"
5,"20500","Owned/Mortgage","1",0,1,17,"C","White"
2,"20603","Rented","1",0,0,15,"HS","Black"
2,"20601","Rented","1",0,1,11,"HS","Black"
4,"20904","Owned/Mortgage","1",1,1,0,"C","Other"
4,"20402","Owned/Mortgage","1",0,0,5,"SC","Black"
2,"20603","Owned/Free","1",0,0,7,"C","White"
2,"20401","Owned/Mortgage","1",0,0,20,"C","White"
3,"20202","Owned/Mortgage","1",0,0,13,"C","Black"
4,"20203","Rented","1",1,0,48,"HS","White"
2,"20402","Owned/Mortgage","1",0,0,16,"SC","White"
1,"20904","Owned/Mortgage","1",1,0,101,"SC","White"
3,"20207","Rented","1",0,0,13,"C","White"
2,"20203","Rented","1",0,0,44,"C","Asian"
1,"20206","Owned/Free","1",0,0,63,"C","White"
3,"20205","Owned/Mortgage","1",0,1,33,"C","White"
2,"20402","Owned/Mortgage","1",0,0,23,"C","White"
1,"20207","Owned/Free","1",0,0,24,"C","White"
1,"20702","Rented","1",0,0,10,"HS","White"
3,"20601","Owned/Mortgage","1",0,1,34,"C","Other"
1,"20904","Owned/Free","1",0,0,28,"HS","White"
2,"20402","Owned/Free","1",0,0,9,"SC","White"
4,"20402","Owned/Mortgage","1",0,0,21,"HS","White"
4,"20205","Rented","1",0,0,22,"C","Asian"
2,"20903","Owned/Mortgage","1",0,0,26,"C","White"
4,"20702","Owned/Mortgage","1",0,0,13,"SC","White"
1,"20901","Owned/Mortgage","1",1,0,0,"C","Two or more"
3,"20202","Owned/Free","2",0,0,7,"HS","White"
2,"20802","Owned/Free","1",1,0,21,"C","White"
1,"20401","Rented","2",0,0,22,"C","White"
1,"20604","Rented","1",0,0,19,"C","Two or more"
1,"20604","Owned/Free","1",1,0,101,"HS","White"
2,"20602","Owned/Mortgage","1",0,0,26,"SC","White"
1,"20904","Owned/Mortgage","1",0,0,60,"SC","White"
1,"20402","Rented","1",0,0,11,"HS","White"
4,"20205","Owned/Mortgage","1",0,0,11,"C","White"
4,"20801","Rented","1",0,0,23,"HS","Other"
2,"20205","Owned/Mortgage","1",0,0,12,"C","Asian"
1,"20701","Rented","1",0,0,53,"HS","Other"
1,"20901","Owned/Free","1",0,0,13,"HS","White"
2,"20207","Rented","1",1,1,44,"SC","Two or more"
4,"20207","Owned/Mortgage","1",0,0,11,"C","White"
1,"20801","Owned/Free","1",0,0,48,"C","Black"
1,"20702","Owned/Mortgage","1",0,0,74,"HS","Other"
2,"20100","Owned/Mortgage","1",0,0,13,"C","White"
1,"20602","Owned/Free","1",0,0,25,"C","White"
5,"20604","Owned/Mortgage","1",0,0,41,"SC","White"
4,"20602","Rented","1",0,0,19,"C","Two or more"
2,"20204","Owned/Mortgage","1",0,1,29,"SC","White"
1,"20904","Rented","1",0,0,101,"SC","Asian"
4,"20201","Owned/Free","1",0,0,9,"SC","Black"
3,"20903","Owned/Mortgage","1",0,1,32,"C","White"
2,"20602","Owned/Mortgage","1",0,0,22,"C","White"
1,"20802","Owned/Mortgage","1",0,0,43,"C","White"
5,"20903","Owned/Mortgage","1",0,1,8,"C","White"
3,"20202","Owned/Mortgage","1",0,0,39,"HS","Black"
3,"20204","Owned/Mortgage","1",0,0,14,"C","Black"
4,"20703","Rented","1",1,1,0,"HS","White"
3,"20703","Rented","1",0,1,18,"SC","Black"
5,"20603","Owned/Mortgage","1",0,0,3,"C","Two or more"
2,"20802","Owned/Free","1",0,1,16,"C","White"
1,"20100","Owned/Mortgage","1",0,0,23,"C","White"
4,"20901","Owned/Mortgage","1",0,0,19,"C","White"
2,"20401","Owned/Free","1",0,1,22,"SC","White"
1,"20603","Rented","1",0,0,10,"SC","Black"
4,"20703","Rented","1",0,1,78,"SC","Black"
1,"20603","Owned/Free","1",0,0,20,"HS","White"
2,"20100","Owned/Mortgage","1",0,0,15,"C","White"
2,"20901","Rented","1",0,0,10,"C","Two or more"
1,"20205","Owned/Mortgage","1",0,0,31,"HS","White"
3,"20901","Owned/Free","1",0,0,4,"C","Two or more"
4,"20904","Owned/Free","1",0,1,6,"C","Asian"
